TableName,TableType,Tier,Plan,Retention,Status,LastIngestion,TotalGB,EstCostUSD
IntuneDeviceComplianceOrg,Microsoft,HOT,Analytics,90,HAS DATA,03-01-2026 12:00,0.0033,0.0091
Operation,Microsoft,HOT,Analytics,90,HAS DATA,03-02-2026 06:00,0.0025,0.0069
Anomalies,Microsoft,HOT,Analytics,90,HAS DATA,03-01-2026 07:00,0.0018,0.005
MicrosoftPurviewInformationProtection,Microsoft,HOT,Analytics,90,HAS DATA,2/27/2026 8:00:00 AM,0.0015,0.0041
EasmRisk_CL,CustomLog,HOT,Analytics,90,HAS DATA,03-01-2026 21:00,0.0014,0.0039
EasmDomainAsset_CL,CustomLog,HOT,Analytics,90,HAS DATA,03-01-2026 21:00,0.0013,0.0036
UpdateSummary,Microsoft,HOT,Analytics,90,HAS DATA,03-02-2026 04:00,0.0011,0.003
EasmSslCertAsset_CL,CustomLog,HOT,Analytics,90,HAS DATA,03-01-2026 21:00,0.0007,0.0019
PowerPlatformAdminActivity,Microsoft,HOT,Analytics,90,HAS DATA,03-01-2026 09:00,0.0006,0.0017
SqlAtpStatus,Microsoft,HOT,Analytics,90,HAS DATA,03-02-2026 06:00,0.0006,0.0017
virustotal_CL,CustomLog,HOT,Analytics,90,HAS DATA,12-08-2025 17:00,0.0005,0.0014
SecurityBaselineSummary,Microsoft,HOT,Analytics,90,HAS DATA,03-02-2026 01:00,0.0002,0.0006
SqlVulnerabilityAssessmentScanStatus,Microsoft,HOT,Analytics,90,HAS DATA,03-02-2026 01:00,0.0001,0.0003
EasmContactAsset_CL,CustomLog,HOT,Analytics,90,HAS DATA,03-01-2026 21:00,0.0001,0.0003
SecureScores,Microsoft,HOT,Analytics,90,HAS DATA,2/28/2026 2:00:00 PM,0.0001,0.0003
PowerBIActivity,Microsoft,HOT,Analytics,90,HAS DATA,03-01-2026 13:00,0.0001,0.0003
Workvivo_CL,CustomLog,HOT,Analytics,90,HAS DATA,03-02-2026 06:00,0.0001,0.0003
IntuneOperationalLogs,Microsoft,HOT,Analytics,90,HAS DATA,03-02-2026 04:00,0.0001,0.0003
abuseip_CL,CustomLog,HOT,Analytics,90,HAS DATA,12/13/2025 1:00:00 AM,0.0001,0.0003
SentinelAudit,Microsoft,HOT,Analytics,90,HAS DATA,03-01-2026 15:00,0.0001,0.0003
ThreatIntelObjects,Microsoft,HOT,Analytics,90,HAS DATA,2/23/2026 7:00:00 PM,0.0001,0.0003
AADUserRiskEvents,Microsoft,HOT,Analytics,90,HAS DATA,03-02-2026 06:00,0.0001,0.0003
ADFActivityRun,Microsoft,HOT,Analytics,90,NO INGESTION,No Ingestion,0,0
OracleCloudDatabase,Microsoft,HOT,Analytics,90,NO INGESTION,No Ingestion,0,0
DeviceCustomImageLoadEvents,Microsoft,HOT,Analytics,90,NO INGESTION,No Ingestion,0,0
AirflowDagProcessingLogs,Microsoft,HOT,Analytics,90,NO INGESTION,No Ingestion,0,0
ADFAirflowSchedulerLogs,Microsoft,HOT,Analytics,90,NO INGESTION,No Ingestion,0,0
ADFAirflowTaskLogs,Microsoft,HOT,Analytics,90,NO INGESTION,No Ingestion,0,0
ADFAirflowWebLogs,Microsoft,HOT,Analytics,90,NO INGESTION,No Ingestion,0,0
ADFAirflowWorkerLogs,Microsoft,HOT,Analytics,90,NO INGESTION,No Ingestion,0,0
WorkloadDiagnosticLogs,Microsoft,HOT,Analytics,90,NO INGESTION,No Ingestion,0,0
SynapseLinkEvent,Microsoft,HOT,Analytics,90,NO INGESTION,No Ingestion,0,0
SynapseIntegrationTriggerRuns,Microsoft,HOT,Analytics,90,NO INGESTION,No Ingestion,0,0
SQLSecurityAuditEvents,Microsoft,HOT,Analytics,90,NO INGESTION,No Ingestion,0,0
SynapseScopePoolScopeJobsEnded,Microsoft,HOT,Analytics,90,NO INGESTION,No Ingestion,0,0
SynapseScopePoolScopeJobsStateChange,Microsoft,HOT,Analytics,90,NO INGESTION,No Ingestion,0,0
UCDOStatus,Microsoft,HOT,Analytics,90,NO INGESTION,No Ingestion,0,0
UCDOAggregatedStatus,Microsoft,HOT,Analytics,90,NO INGESTION,No Ingestion,0,0
AppServiceConsoleLogs,Microsoft,HOT,Analytics,90,NO INGESTION,No Ingestion,0,0
ATCPrivatePeeringMetadata,Microsoft,HOT,Analytics,90,NO INGESTION,No Ingestion,0,0
AutoscaleEvaluationsLog,Microsoft,HOT,Analytics,90,NO INGESTION,No Ingestion,0,0
FunctionAppLogs,Microsoft,HOT,Analytics,90,NO INGESTION,No Ingestion,0,0
AACHttpRequest,Microsoft,HOT,Analytics,90,NO INGESTION,No Ingestion,0,0
AppServiceEnvironmentPlatformLogs,Microsoft,HOT,Analytics,90,NO INGESTION,No Ingestion,0,0
PerfInsightsImpactedResources,Microsoft,HOT,Analytics,90,NO INGESTION,No Ingestion,0,0
AppPageViews,Microsoft,HOT,Analytics,90,NO INGESTION,No Ingestion,0,0
PerfInsightsFindings,Microsoft,HOT,Analytics,90,NO INGESTION,No Ingestion,0,0
PerfInsightsRun,Microsoft,HOT,Analytics,90,NO INGESTION,No Ingestion,0,0
AppSystemEvents,Microsoft,HOT,Analytics,90,HAS DATA,02-02-2026 04:00,0,0
WVDCheckpoints,Microsoft,HOT,Analytics,90,NO INGESTION,No Ingestion,0,0
AADDomainServicesSystemSecurity,Microsoft,HOT,Analytics,90,NO INGESTION,No Ingestion,0,0
DataSetOutput,Microsoft,HOT,Analytics,90,NO INGESTION,No Ingestion,0,0
DatabricksTables,Microsoft,HOT,Analytics,90,NO INGESTION,No Ingestion,0,0
DataSetRuns,Microsoft,HOT,Analytics,90,NO INGESTION,No Ingestion,0,0
ACSEmailUserEngagementOperational,Microsoft,HOT,Analytics,90,NO INGESTION,No Ingestion,0,0
NWConnectionMonitorTestResult,Microsoft,HOT,Analytics,90,NO INGESTION,No Ingestion,0,0
NWConnectionMonitorPathResult,Microsoft,HOT,Analytics,90,NO INGESTION,No Ingestion,0,0
NWConnectionMonitorDNSResult,Microsoft,HOT,Analytics,90,NO INGESTION,No Ingestion,0,0
AADDomainServicesAccountLogon,Microsoft,HOT,Analytics,90,NO INGESTION,No Ingestion,0,0
MicrosoftHealthcareApisAuditLogs,Microsoft,HOT,Analytics,90,NO INGESTION,No Ingestion,0,0
InsightsMetrics,Microsoft,HOT,Analytics,90,NO INGESTION,No Ingestion,0,0
AADGraphActivityLogs,Microsoft,HOT,Analytics,90,NO INGESTION,No Ingestion,0,0
LIATrackingEvents,Microsoft,HOT,Analytics,90,NO INGESTION,No Ingestion,0,0
DeviceCustomFileEvents,Microsoft,HOT,Analytics,90,NO INGESTION,No Ingestion,0,0
DeviceCustomNetworkEvents,Microsoft,HOT,Analytics,90,NO INGESTION,No Ingestion,0,0
AADServicePrincipalRiskEvents,Microsoft,HOT,Analytics,90,NO INGESTION,No Ingestion,0,0
CDBPartitionKeyRUConsumption,Microsoft,HOT,Analytics,90,NO INGESTION,No Ingestion,0,0
AADRiskyUsers,Microsoft,HOT,Analytics,90,HAS DATA,03-02-2026 06:00,0,0
CDBQueryRuntimeStatistics,Microsoft,HOT,Analytics,90,NO INGESTION,No Ingestion,0,0
CDBMongoRequests,Microsoft,HOT,Analytics,90,NO INGESTION,No Ingestion,0,0
CDBCassandraRequests,Microsoft,HOT,Analytics,90,NO INGESTION,No Ingestion,0,0
CDBGremlinRequests,Microsoft,HOT,Analytics,90,NO INGESTION,No Ingestion,0,0
CDBTableApiRequests,Microsoft,HOT,Analytics,90,NO INGESTION,No Ingestion,0,0
CDBControlPlaneRequests,Microsoft,HOT,Analytics,90,NO INGESTION,No Ingestion,0,0
EGNSuccessfulHttpDataPlaneOperations,Microsoft,HOT,Analytics,90,NO INGESTION,No Ingestion,0,0
EGNFailedHttpDataPlaneOperations,Microsoft,HOT,Analytics,90,NO INGESTION,No Ingestion,0,0
ADFSSignInLogs,Microsoft,HOT,Analytics,90,NO INGESTION,No Ingestion,0,0
AegDataPlaneRequests,Microsoft,HOT,Analytics,90,NO INGESTION,No Ingestion,0,0
NCCIDRACLogs,Microsoft,HOT,Analytics,90,NO INGESTION,No Ingestion,0,0
PurviewDataSensitivityLogs,Microsoft,HOT,Analytics,90,NO INGESTION,No Ingestion,0,0
ATCExpressRouteCircuitIpfix,Microsoft,HOT,Analytics,90,NO INGESTION,No Ingestion,0,0
AADServicePrincipalSignInLogs,Microsoft,HOT,Analytics,90,NO INGESTION,No Ingestion,0,0
AADCustomSecurityAttributeAuditLogs,Microsoft,HOT,Analytics,90,NO INGESTION,No Ingestion,0,0
MicrosoftServicePrincipalSignInLogs,Microsoft,HOT,Analytics,90,NO INGESTION,No Ingestion,0,0
AADRiskyServicePrincipals,Microsoft,HOT,Analytics,90,NO INGESTION,No Ingestion,0,0
MySqlAuditLogs,Microsoft,HOT,Analytics,90,NO INGESTION,No Ingestion,0,0
MySqlSlowLogs,Microsoft,HOT,Analytics,90,NO INGESTION,No Ingestion,0,0
PGSQLPgStatActivitySessions,Microsoft,HOT,Analytics,90,NO INGESTION,No Ingestion,0,0
DeviceCustomScriptEvents,Microsoft,HOT,Analytics,90,NO INGESTION,No Ingestion,0,0
AKSControlPlane,Microsoft,HOT,Analytics,90,NO INGESTION,No Ingestion,0,0
NSPAccessLogs,Microsoft,HOT,Analytics,90,NO INGESTION,No Ingestion,0,0
LAJobLogs,Microsoft,HOT,Analytics,90,NO INGESTION,No Ingestion,0,0
DeviceCustomProcessEvents,Microsoft,HOT,Analytics,90,NO INGESTION,No Ingestion,0,0
